id,name,type,location,startDate,endDate,website,hostingTeams
"6391","2012 East Coast Derby Extravaganza","Invitational","Philadelphia, PA","2012-06-22","2012-06-24","http://www.phillyrollerderby.com/ecdx","3394"
"15077","2012 Eastbourne Extreme Roller Derby","Invitational","Eastbourne, UK","2012-07-15","2012-07-15","http://www.facebook.com/events/206439542804713/","8940"
"8735","2012 Empire Skate Showdown","Invitational","Long Island, NY","2012-09-01","2012-09-01","http://www.longislandrollerrebels.com/ess/","3416"
"23271","2012 ERRD Smackdown","Invitational","","2012-09-29","2012-09-29","",""
"10423","2012 Flat Track Fever","Invitational","Calgary, Alberta, Canada","2012-04-13","2012-04-15","http://flattrackfever.chinookcity.ca/","10424"
"6872","2012 Franky Panky","Invitational","Tampa Bay, FL","2012-09-01","2012-09-02","","3440"
"6641","2012 Governor's Cup","Invitational","Dallas, TX","2012-01-28","2012-01-29","http://govcup.acderby.com/","3424"
"44112","2012 Great Lakes Cup","Invitational","Rochester Hills, MI","2012-08-04","2012-08-05","https://www.facebook.com/events/238596899588778/","39020"
"17732","2012 Great Yorkshire Showdown","Invitational","Huddersfield, UK","2012-07-28","2012-07-28","http://leedsrollerdolls.com/great-yorkshire-showdown-2012","7930"
"6389","2012 Honky Tonk Stomp","Invitational","Memphis, TN","2012-03-31","2012-03-31","","3453"
"17612","2012 Men's European Roller Derby Championships","Championship","Birmingham, UK","2012-07-28","2012-07-29","http://www.facebook.com/mrd.euro.champs",""
"6549","2012 Midwest Brewhaha","Invitational","Milwaukee, WI","2012-06-02","2012-06-03","http://www.brewcitybruisers.com/midwest-brewhaha/","3419"
"20264","2012 Mitten Kitten Mash-Up","Invitational","","2012-11-05","2012-11-06","",""
"10431","2012 Mohawk Valley Cup","Invitational","Rome, NY","2012-08-18","2012-08-19","http://mohawkvalleycup.blogspot.com/","10402"
"44827","2012 NWC","Invitational","","2012-07-07","2012-07-08","",""
"25635","2012 River Valley Riot","Invitational","St. Clairsville, OH","2012-12-01","2012-12-02","http://www.ohiovalleyrollergirls.com/calendar/derby-tournament-river-valley-riot/294","13100"
"17761","2012 Rollercon","Invitational","Las Vegas, NV","2012-07-25","2012-07-29","http://rollercon.net/",""
"15698","2012 Rolling Along the River","Invitational","Sioux City, IA","2012-09-01","2012-09-02","http://www.facebook.com/pages/Rolling-Along-The-River/126230684065684","8093"
"22921","2012 Skates & Spurs","Invitational","","2012-06-23","2012-06-23","",""
"25688","2012 Southern Belle Ringer","Invitational","Mobile, AL","2012-12-01","2012-12-01","https://www.facebook.com/events/359380934152081/","9079"
"10429","2012 Spring Roll","Invitational","Ft. Wayne, IN","2012-05-12","2012-05-13","http://www.fwderbygirls.com/events/SpringRoll.php","3411"
"18987","2012 Spudtown Knockdown","Seeded Bracket","Boise, ID","2012-09-01","2012-09-02","https://www.facebook.com/pages/Spudtown-Knockdown/244713125617259","5920"
"17731","2012 Tattoo Freeze","Invitational","Telford, UK","2012-01-15","2012-01-15","http://www.facebook.com/events/318711024812584/","7763"
"13637","2012 Triple-D Tournament","Invitational","Oswego, NY","2012-07-27","2012-07-29","http://tripled2011.com/","8727"
"25539","2012 Tropicarnage Cup","Invitational","","2012-09-29","2012-09-29","",""
"25682","2012 USARS Championship","Championship","Fresno, CA","2012-12-14","2012-12-16","http://www.usarsrollerderby.com/","8134"
"23249","2012 USARS North Central Regionals","Invitational","Dubuque, IA","2012-09-21","2012-09-23","http://www.teamusa.org/USA-Roller-Sports/Features/2012/August/18/USARS-Regional-Derby-Tournaments-Update.aspx","7605"
"23354","2012 USARS Northwest Regional","Invitational","Coeur d'Alene, ID","2012-10-19","2012-10-21","http://www.teamusa.org/USA-Roller-Sports/Features/2012/August/18/USARS-Regional-Derby-Tournaments-Update.aspx","18705"
"23321","2012 USARS Southern Regional 2012","Invitational","Mobile, AL","2012-10-12","2012-10-14","http://www.teamusa.org/USA-Roller-Sports/Features/2012/August/18/USARS-Regional-Derby-Tournaments-Update.aspx","9079"
"23277","2012 USARS Southwest Regional","Invitational","Stockton, CA","2012-09-28","2012-09-30","http://www.teamusa.org/USA-Roller-Sports/Features/2012/August/18/USARS-Regional-Derby-Tournaments-Update.aspx","8917"
"15330","2012 Virginia is for Shovers","Invitational","Charlottesville, VA","2012-08-04","2012-08-04","http://www.vaisforshovers.com/","8140"
"34105","2013 5x5 Roller Derby Championship","Invitational","NSW Australia","2013-03-16","2013-08-10","5x5derby.com",""
"36654","2013 All Eight on the Floor","Invitational","Auburn, MA","2013-08-03","2013-08-04","http://worcesterrollerderby.com/tournament/","11359"
"26663","2013 All-Iowa Tournament","Invitational","","2013-06-01","2013-06-02","",""
"21407","2013 B-Cup Challenge","Invitational","Bloomington, IN","2013-02-09","2013-02-10","http://www.bleedingheartlandrollergirls.com/bhrgs-third-annual-b-cup-tournament/","3455"
"27002","2013 Battle for the Coast","Invitational","Ventura, CA","2013-04-20","2013-04-21","http://battleforthecoast.com/Coming_Soon.html","8518"
"42975","2013 Battle of the All-Stars","Seeded Bracket","Hatfield, PA","2013-12-13","2013-12-15","","27355"
"27471","2013 Beast of the East","Invitational","Montreal, QC, Canada","2013-04-27","2013-04-28","http://beast.mtlrd.com/","3461"
"20460","2013 Big O","Invitational","Eugene, OR","2013-05-17","2013-05-19","http://thebigotournament.com/","3465,7846"
"27057","2013 Clover Cup","Seeded Bracket","Dallas, TX","2013-03-22","2013-03-24","http://www.clovercup.com/","3400"
"30098","2013 Colorado Cup","Invitational","Denver, CO","2013-04-27","2013-04-28","https://www.facebook.com/events/418920298201150/","3431"
"28259","2013 Dust Bowl Invitational","Invitational","Bakersfield, CA","2013-03-23","2013-03-24","https://www.facebook.com/DUSTBOWLINVITATIONAL","3644"
"27058","2013 Dust Devil","Seeded Bracket","Tucson, AZ","2013-04-13","2013-04-14","http://www.dustdeviltournament.com/","3398"
"25745","2013 East Coast Derby Extravaganza","Invitational","Philadelphia, PA","2013-06-28","2013-06-30","http://www.phillyrollerderby.com/ecdx","3394"
"27846","2013 Eastbourne Extreme Roller Derby","Invitational","Eastbourne, UK","2013-07-13","2013-07-14","http://www.facebook.com/EastbourneExtremeRollerDerby","8940"
"37911","2013 ERRD Smackdown","Invitational","Niagra Park, NSW, Australia","2013-10-05","2013-10-06","http://smackdown2013.eventbrite.com.au/",""
"30057","2013 Flat Track Fever","Invitational","Calgary, AB, Canada","2013-04-12","2013-04-14","http://flattrackfever.com/","10424,10417,17348"
"34438","2013 Franky Panky","Invitational","Tampa Bay, FL","2013-07-20","2013-07-21","https://www.facebook.com/events/490972650929279/","3440"
"40052","2013 Great Lakes Cup (JRDA Regional 1)","Invitational","Lansing, MI","0013-06-22","0013-06-22","http://greatlakescup.wordpress.com/","40058"
"28088","2013 Great Yorkshire Showdown","Invitational","Leeds, UK","2013-05-11","2013-05-11","http://leedsrollerdolls.com/node/361","7930"
"25744","2013 Honky Tonk Stomp","Invitational","Gray, TN","2013-06-22","2013-06-23","","5918"
"40089","2013 JRDA Nationals","Invitational","","","","",""
"37771","2013 Labor Pains Invitational","Invitational","San Diego, CA","2013-08-31","2013-09-01","","14194"
"35583","2013 Malmö Roller Derby Festival","Invitational","Malmo, Sweden","2013-07-12","2013-07-14","https://www.facebook.com/events/270275669780367/","7771"
"27363","2013 Men's European Roller Derby Championships","Invitational","Birmingham, UK","2013-07-20","2013-07-21","http://www.facebook.com/MensEuropeanRollerDerbyChampionships",""
"31933","2013 Midwest Brewhaha","Invitational","Milwaukee, WI","2013-05-31","2013-06-02","","3419"
"32145","2013 Midwest DerbyFest Tournament","Invitational","Lebanon, MO","2013-06-29","2013-06-30","https://www.facebook.com/pages/Midwest-DerbyFest-Tournament/154774318001746?fref=ts",""
"38827","2013 Mitten Kitten Mash-Up Division 1 North","Invitational","Kalkasa, MI","2013-10-12","2013-10-13","",""
"39183","2013 Mitten Kitten Mash-Up Division 2 Rumble Cup","Invitational","Rochester, MI","2013-10-05","2013-10-06","",""
"28250","2013 Mohawk Valley Cup","Seeded Bracket","Rome, NY","2013-08-17","2013-08-18","","10402"
"27953","2013 MRDA Championship Battle of Midway","Championship","Sioux City, IA","2013-10-19","2013-10-20","http://www.mensrollerderbyassociation.com/pressreleases/the-2013-mrda-champion-will-raise-the-trophy-in-sioux-city-iowa/","10404"
"35330","2013 Muddy River Murder","Invitational","Moncton, NB, Canada","2013-07-06","2013-07-07","http://muddyriverrollers.com/muddy-river-murder.html","9823"
"41716","2013 New Zealand Derby Royale","Seeded Bracket","Palmerston North, New Zealand","2013-10-26","2013-10-27","","15858"
"32037","2013 Northern Tropical Thunder","Invitational","Townsville, QLD, Australia","2013-06-07","2013-06-10","http://www.reefcityrollergirls.com/node/101","24951"
"46666","2013 NWC","Invitational","","2013-07-06","2013-07-07","",""
"28218","2013 RDAC National Tournament","Invitational","Edmonton, AB, Canada","2013-03-15","2013-03-17","http://rollerderbycanada.ca/?page_id=751","8849"
"32772","2013 Roller Derby SM-veckan","Invitational","Halmstad, Sweden","2013-07-06","2013-07-07","https://www.facebook.com/events/570289636349189/","11070"
"26574","2013 Rolling Along the River","Invitational","Sioux City, IA","2013-06-22","2013-06-23","","8093"
"46909","2013 RR","Invitational","","2013-07-06","2013-07-06","",""
"36503","2013 Southern Belle Ringer","Seeded Bracket","Mandeville, LA","2013-11-23","2013-11-23","www.derbysouth.com","8660"
"27050","2013 Spokarnage","Seeded Bracket","Spokane, WA","2013-04-26","2013-04-28","http://www.spokarnage.com/","11470"
"27994","2013 Spring Roll","Invitational","Fort Wayne, IN","2013-05-17","2013-05-19","http://www.fwderbygirls.com/events/SpringRoll.php","3411"
"27053","2013 Spudtown Knockdown","Invitational","Boise, ID","2013-07-20","2013-07-21","http://spudtownknockdown.com/","5920"
"46674","2013 SS2/JRDA Regional 2","Invitational","","2013-06-30","2013-06-30","",""
"39687","2013 Suomi Cup","Invitational","Finland","2013-01-01","2013-12-31","http://www.rollerderbyfinland.com/suomi-cup/otteluohjelma/suomi-cup-2013/",""
"67213","2013 The Fresh and Furious","Invitational","Toronto, ON, Canada","0013-07-13","0013-07-13","","8115"
"37912","2013 Tropicarnage Cup","Invitational","Morayfield, QLD, Australia","2013-10-05","2013-10-07","https://www.facebook.com/events/305016666308966/?fref=ts",""
"40151","2013 USARS Championship","Championship","","","","",""
"28919","2013 USARS Northwest Regional Tournament","Seeded Bracket","Seattle, WA","2013-08-31","2013-09-01","","27624"
"36866","2013 USARS Region 3 Regional","Seeded Bracket","","2013-08-10","2013-08-10","",""
"52829","2013 Vic Tas Roller Derby Tournament","Invitational","Derrimut, VIC, Australia","2013-08-03","2013-12-07","",""
"36885","2013 Virginia is for Shovers","Invitational","Fisherville, VA","2013-08-17","2013-08-17","https://www.facebook.com/events/453853571351525/?fref=ts","8140"
"22830","2013 WFTDA Championship","Championship","Milwaukee, WI","2013-11-08","2013-11-10","http://wftda.com/news/2013-tournament-locations","3419"
"22825","2013 WFTDA Division 1 Playoff #1","North Central Regional","Fort Wayne, IN","2013-09-06","2013-09-08","http://wftda.com/news/2013-tournament-locations","3411"
"22826","2013 WFTDA Division 1 Playoff #2","Eastern Regional","Richmond, VA","2013-09-13","2013-09-15","http://wftda.com/news/2013-tournament-locations","3459"
"22827","2013 WFTDA Division 1 Playoff #3","South Central Regional","Asheville, NC","2013-09-20","2013-09-22","http://wftda.com/news/2013-tournament-locations","8059"
"22828","2013 WFTDA Division 1 Playoff #4","Western Regional","Salem, OR","2013-09-27","2013-09-29","http://wftda.com/news/2013-tournament-locations","8052"
"28943","2013 WFTDA Division 2 Playoff #1","Seeded Bracket","Des Moines, IA","2013-08-16","2013-08-18","","5914"
"28944","2013 WFTDA Division 2 Playoff #2","Seeded Bracket","Kalamazoo, MI","2013-08-23","2013-08-25","","3637"
"29207","2013: A Skate Odyssey","Seeded Bracket","Gent, Belgium","2013-05-10","2013-05-12","http://www.2013skod.com/","8083"
"47412","2014 5x5 Roller Derby Championship","Invitational","NSW, Australia","2014-03-29","2014-08-30","www.5x5derby.com",""
"53800","2014 All Eight on the Floor","Invitational","Worcester, MA","2014-08-02","2014-08-02","","11359"
"58127","2014 AMRD Nationals","Invitational","Ipswich, Queensland, Australia","2014-11-15","2014-11-16","http://amrdmarketing.wix.com/amrd#!nationals/c6fj","39917"
"47046","2014 Anarchy in the UK","Invitational","London, UK","2014-04-12","2014-04-13","https://www.facebook.com/events/1380765508835585","3628"
"44533","2014 B-Cup Challenge","Seeded Bracket","Bloomington, IN","2014-02-08","2014-02-09","http://bleedingheartlandrollerderby.com/b-cup-2014/","3455"
"39549","2014 Battle for the Coast","Invitational","Ventura, CA","2014-04-05","2014-04-06","http://www.vcderbydarlins.com/#!bftc/c1nsa","8518"
"48359","2014 Beast of the East","Invitational","Montreal, QC, Canada","2014-04-26","2014-04-27","http://beast.mtlrd.com/","3461"
"58128","2014 Bendigo Rebellion","Invitational","Bendigo, Victoria, Australia","2014-11-01","2014-11-02","https://www.facebook.com/events/312007572280071/?fref=ts",""
"41130","2014 Big O","Invitational","Eugene, OR","2014-05-02","2014-05-04","http://thebigotournament.com/","3465"
"42949","2014 Clover Cup","Seeded Bracket","Dallas, TX","2014-03-21","2014-03-23","https://www.facebook.com/clovercup","3400"
"47557","2014 Dust Bowl Invitational","Seeded Bracket","Bakersfield, CA","2014-03-21","2014-03-23","https://www.facebook.com/DUSTBOWLINVITATIONAL","3644"
"45110","2014 Dust Devil","Seeded Bracket","Tucson, AZ","2014-04-05","2014-04-06","http://www.dustdeviltournament.com/","3398"
"44777","2014 East Coast Derby Extravaganza","Invitational","Feasterville, PA","2014-06-20","2014-06-22","http://ecdx.phillyrollergirls.com/","3394"
"53650","2014 Eastbourne Extreme Roller Derby","Invitational","Eastbourne, UK","2014-07-12","2014-07-13","https://www.facebook.com/EastbourneExtremeRollerDerby","8940"
"40027","2014 ERRD Qualification Season","Invitational","NSW, Australia","2013-10-01","2014-10-01","",""
"56091","2014 ERRD Smackdown","Invitational","Gosford, NSW, Australia","2014-10-04","2014-10-06","https://www.facebook.com/easternregionrollerderby/info",""
"85375","2014 European Roller Derby Tournament","Seeded Bracket","Mons, Belgium","2014-09-06","2014-09-07","",""
"37834","2014 Fantastic 8","Invitational","Metz, France","2014-04-19","2014-04-21","http://www.fantastic8tournament.com/","11049"
"51678","2014 Flat Track Fever","Invitational","Calgary, Alberta","2014-05-23","2014-05-25","http://flattrackfever.com/","9270"
"44306","2014 Franky Panky","Invitational","Tampa, FL","2014-06-14","2014-06-15","","3440"
"51602","2014 Golden Bowl","Invitational","Richmond, CA","2014-06-14","2014-06-15","http://www.bayareaderbygirls.com/2014-golden-bowl","3404"
"44143","2014 Great Lakes Cup","Invitational","Fort Wayne, IN","2014-06-21","2014-06-22","","39970"
"56593","2014 Great Yorkshire Showdown","Seeded Bracket","Leeds, Uk","2014-09-20","2014-09-20","http://leedsrollerdolls.com/great_yorkshire_showdown_%202014","7930"
"44905","2014 Havoc in Hannover","Invitational","Hannover, Germany","2014-02-01","2014-02-02","https://www.facebook.com/events/757370994292656/?fref=ts","20690"
"57038","2014 JRDA Championships","Invitational","","2014-08-07","2014-08-09","",""
"53431","2014 JRDA E-NE Regional Tournament","Invitational","","2014-07-05","2014-07-05","",""
"51236","2014 JRDA S/SE Regional Tournament","Invitational","","2014-05-24","2014-05-25","",""
"55927","2014 Labor Pains Invitational","Invitational","San Diego, CA","2014-08-29","2014-08-31","","14194"
"45434","2014 Low Down Throw Down","Invitational","Augusta, GA","2014-05-03","2014-05-04","http://soulcitysirens.com/low-down-throw-down/","8102"
"55788","2014 Men's European Cup","Invitational","Newcastle-upon-Tyne, UK","2014-08-30","2014-08-31","http://www.tyneandfear.co.uk/uncategorized/mrda-european-cup-2014/","17614"
"44137","2014 Michigan Mayhem","Invitational","","2014-05-03","2014-05-04","",""
"49760","2014 Midwest Brewhaha","Invitational","Milwaukee, WI","2014-05-30","2014-06-01","http://www.brewcitybruisers.com/midwest-brewhaha/","3419"
"53160","2014 Midwest DerbyFest","Seeded Bracket","Lebanon, MO","2014-06-27","2014-06-29","https://www.facebook.com/pages/Midwest-DerbyFest-Tournament/154774318001746",""
"56325","2014 Mitten Kitten Mash-Up Division 1","Seeded Bracket","Kalamazoo, MI","2014-10-11","2014-10-12","","3637"
"56326","2014 Mitten Kitten Mash-Up Division 2","Seeded Bracket","Battle Creek, MI","2014-10-04","2014-10-05","","18437"
"44924","2014 Mohawk Valley Cup","Seeded Bracket","Rome, NY","2014-08-16","2014-08-17","http://quadfathers.blogspot.com/p/mohawk-valley-cup-tournament.html","10402"
"53889","2014 Muddy River Tournament","Seeded Bracket","Moncton, NB, Canada","2014-07-18","2014-07-19","","9823"
"48079","2014 North Coast Derby Coalition","Invitational","","","","","37742"
"56640","2014 Orange is the New Block","Invitational","","2014-10-11","2014-10-11","",""
"49855","2014 Pac Destruction","Invitational","Los Angeles, CA","2014-06-28","2014-06-29","http://angelcityderby.com/events/pac-destruction-day-1/","3420"
"48808","2014 Pohjola Cup","Invitational","Finland","2014-02-15","2014-02-15","",""
"58510","2014 River Valley Riot","Invitational","St. Clairsville, OH","2014-11-22","2014-11-23","https://www.facebook.com/events/228590933940670/","13100"
"88036","2014 Roller Derby SM-veckan","Invitational","Sweden","2014-07-05","2014-07-06","http://www.skridsko.se/Arbetsrumslista/RollerDerby/TavlingochNatverk/SMochSeriespel",""
"44892","2014 RollerCon","Invitational","Las Vegas, NV","2014-07-23","2014-07-27","http://rollercon.com/",""
"51504","2014 Skates of Glory","Invitational","Antwerp, Belgium","2014-10-04","2014-10-05","skatesofglory.com",""
"44567","2014 Slip It","Invitational","Caen, France","2014-01-25","2014-01-26","https://www.facebook.com/events/1384205425163171/?fref=ts","19122"
"48880","2014 Spokarnage","Invitational","Spokane, WA","2014-04-18","2014-04-20","http://www.spokarnage.com/","11470"
"44135","2014 Spring BreakHer Out","Invitational","Mackinaw City, MI","2014-04-12","2014-04-13","",""
"48478","2014 Spring Roll","Invitational","Ft. Wayne, IN","2014-05-16","2014-05-18","http://fwderbygirls.com/springroll/","3411"
"44305","2014 Spudtown Knockdown","Invitational","Boise, ID","2014-04-05","2014-04-06","http://www.spudtownknockdown.com/","5920"
"44568","2014 Suomi Cup","Invitational","Finland","2014-01-25","2014-01-25","http://www.rollerderbyfinland.com/suomi-cup/otteluohjelma/suomi-cup-2014/",""
